phase,check,status,value,threshold,direction,margin_to_threshold,artifact,note
B,ml_precision_delta_vs_sde,PASS,0.21505336311739875,0.0,gte,0.21505336311739875,data_lake/reports/no_source_year_percent_team_v1/significance_summary_2022_2025_no_source_year_percent_team_v1.csv,positive precision delta required
B,two_proportion_pvalue,PASS,3.288454841765542e-09,0.05,lte,0.04999999671154516,data_lake/reports/no_source_year_percent_team_v1/significance_tests_2022_2025_no_source_year_percent_team_v1.csv,z=5.916509
C,reference_threshold_precision_vs_sde_floor,PASS,0.8739851747264384,0.734313725490196,gte,0.13967144923624242,data_lake/reports/no_source_year_percent_team_v1/threshold_frontier_2022_2025_no_source_year_percent_team_v1.csv,threshold=0.1000
C,lookahead_no_match_dominance_rate,PASS,0.9658605974395448,0.9,gte,0.06586059743954475,data_lake/reports/no_source_year_percent_team_v1/threshold_frontier_2022_2025_no_source_year_percent_team_v1.csv,higher values indicate horizon-lag dominates exclusions
D,constrained_precision_min,PASS,0.8537735849056604,0.6,gte,0.2537735849056604,data_lake/reports/no_source_year_percent_team_v1/calibration_policy_summary_2022_2025_no_source_year_percent_team_v1.csv,policy precision gate
D,precision_floor_reachability_ratio,PASS,0.9357084357084358,0.9,gte,0.03570843570843574,data_lake/reports/no_source_year_percent_team_v1/calibration_policy_summary_2022_2025_no_source_year_percent_team_v1.csv,fraction of candidate thresholds reaching floor
D,fallback_rate_max,PASS,0.0,0.1,lte,0.1,data_lake/reports/no_source_year_percent_team_v1/calibration_policy_summary_2022_2025_no_source_year_percent_team_v1.csv,fallbacks should remain bounded
F,feature_parity_overall_gate,PASS,1.0,1.0,gte,0.0,data_lake/reports/no_source_year_percent_team_v1/feature_parity_summary_2022_2025_no_source_year_percent_team_v1.csv,"schema, PIT, and parity checks"
F,offline_live_parity_score,PASS,1.0,0.95,gte,0.050000000000000044,data_lake/reports/no_source_year_percent_team_v1/feature_parity_summary_2022_2025_no_source_year_percent_team_v1.csv,sampled parity gate
G,latency_p95_total_ms,PASS,4.604534548707296,500.0,lte,495.3954654512927,data_lake/reports/no_source_year_percent_team_v1/live_latency_summary_2022_2025_no_source_year_percent_team_v1.csv,hold_if<800.0
G,availability_pct,PASS,100.0,99.0,gte,1.0,data_lake/reports/no_source_year_percent_team_v1/live_latency_summary_2022_2025_no_source_year_percent_team_v1.csv,hold_if>=95.0
G,failed_events_count,PASS,0.0,0.0,lte,0.0,data_lake/reports/no_source_year_percent_team_v1/live_availability_summary_2022_2025_no_source_year_percent_team_v1.csv,observed replay failures
